TimeStamp,Time,Sdur,Sdur_accum_der,Sb
UTC,hhmm,sec,h,W/m^2
20140907,0500,0,0.0,9999.9
20140907,0600,0,0.0,9999.9
20140907,0700,0,0.0,9999.9
20140907,0800,0,0.0,9999.9
20140907,0900,0,0.0,9999.9
20140907,1000,750,0.2,9999.9
20140907,1100,1287,0.6,9999.9
20140907,1200,1860,1.1,9999.9
20140907,1300,3284,2.0,9999.9
20140907,1400,3600,3.0,9999.9
20140907,1500,3600,4.0,9999.9
20140907,1600,3038,4.8,9999.9
20140907,1700,2807,5.6,9999.9
20140907,1800,2500,6.3,9999.9
20140907,1900,0,6.3,9999.9
20140907,2000,0,6.3,9999.9
20140907,2100,0,6.3,9999.9
20140907,2200,0,6.3,9999.9
20140907,2300,0,6.3,9999.9
20140907,2400,0,6.3,9999.9
20140908,0100,0,0.0,9999.9
20140908,0200,0,0.0,9999.9
20140908,0300,0,0.0,9999.9
20140908,0400,0,0.0,9999.9
20140908,0500,0,0.0,9999.9
20140908,0600,0,0.0,9999.9
20140908,0700,0,0.0,9999.9
20140908,0800,78,0.0,9999.9
20140908,0900,9999.9,9999.9,9999.9
20140908,1000,9999.9,9999.9,9999.9
20140908,1100,2686,9999.9,9999.9
20140908,1200,1971,9999.9,9999.9
20140908,1300,2848,9999.9,9999.9
20140908,1400,3600,9999.9,9999.9
20140908,1500,3600,9999.9,9999.9
20140908,1600,3600,9999.9,9999.9
20140908,1700,3600,9999.9,9999.9
20140908,1800,2890,9999.9,9999.9
20140908,1900,0,9999.9,9999.9
20140908,2000,0,9999.9,9999.9
20140908,2100,0,9999.9,9999.9
20140908,2200,0,9999.9,9999.9
20140908,2300,0,9999.9,9999.9
20140908,2400,0,9999.9,9999.9
20140909,0100,0,0.0,9999.9
20140909,0200,0,0.0,9999.9
20140909,0300,0,0.0,9999.9
20140909,0400,0,0.0,9999.9
20140909,0500,0,0.0,9999.9
20140909,0600,0,0.0,9999.9
20140909,0700,2861,0.8,9999.9
20140909,0800,3600,1.8,9999.9
20140909,0900,3600,2.8,9999.9
20140909,1000,3600,3.8,9999.9
20140909,1100,3600,4.8,9999.9
20140909,1200,3023,5.6,9999.9
20140909,1300,3600,6.6,9999.9
20140909,1400,3274,7.5,9999.9
20140909,1500,1246,7.9,9999.9
20140909,1600,2696,8.6,9999.9
20140909,1700,2483,9.3,9999.9
20140909,1800,2598,10.1,9999.9
20140909,1900,0,10.1,9999.9
20140909,2000,0,10.1,9999.9
20140909,2100,0,10.1,9999.9
20140909,2200,0,10.1,9999.9
20140909,2300,0,10.1,9999.9
20140909,2400,0,10.1,9999.9
20140910,0100,0,0.0,9999.9
20140910,0200,0,0.0,9999.9
20140910,0300,0,0.0,9999.9
20140910,0400,0,0.0,9999.9
20140910,0500,0,0.0,9999.9
20140910,0600,0,0.0,9999.9
20140910,0700,2744,0.8,9999.9
20140910,0800,3600,1.8,9999.9
20140910,0900,3600,2.8,9999.9
20140910,1000,3600,3.8,9999.9
20140910,1100,9999.9,9999.9,9999.9
20140910,1200,9999.9,9999.9,9999.9
20140910,1300,518,9999.9,9999.9
20140910,1400,2278,9999.9,9999.9
20140910,1500,2604,9999.9,9999.9
20140910,1600,2881,9999.9,9999.9
20140910,1700,2960,9999.9,9999.9
20140910,1800,2484,9999.9,9999.9
20140910,1900,0,9999.9,9999.9
20140910,2000,0,9999.9,9999.9
20140910,2100,0,9999.9,9999.9
20140910,2200,0,9999.9,9999.9
20140910,2300,0,9999.9,9999.9
20140910,2400,0,9999.9,9999.9
20140911,0100,0,0.0,9999.9
20140911,0200,0,0.0,9999.9
20140911,0300,0,0.0,9999.9
20140911,0400,0,0.0,9999.9
20140911,0500,0,0.0,9999.9
20140911,0600,0,0.0,9999.9
20140911,0700,0,0.0,9999.9
20140911,0800,0,0.0,9999.9
20140911,0900,0,0.0,9999.9
20140911,1000,0,0.0,9999.9
20140911,1100,0,0.0,9999.9
20140911,1200,0,0.0,9999.9
20140911,1300,0,0.0,9999.9
20140911,1400,2695,0.7,9999.9
20140911,1500,2230,1.4,9999.9
20140911,1600,0,1.4,9999.9
20140911,1700,0,1.4,9999.9
20140911,1800,0,1.4,9999.9
20140911,1900,0,1.4,9999.9
20140911,2000,0,1.4,9999.9
20140911,2100,0,1.4,9999.9
20140911,2200,0,1.4,9999.9
20140911,2300,0,1.4,9999.9
20140911,2400,0,1.4,9999.9
20140912,0100,0,0.0,9999.9
20140912,0200,0,0.0,9999.9
20140912,0300,0,0.0,9999.9
20140912,0400,0,0.0,9999.9
20140912,0500,0,0.0,9999.9
20140912,0600,0,0.0,9999.9
20140912,0700,0,0.0,9999.9
20140912,0800,0,0.0,9999.9
20140912,0900,33,0.0,9999.9
20140912,1000,1687,0.5,9999.9
20140912,1100,1973,1.0,9999.9
20140912,1200,2458,1.7,9999.9
20140912,1300,1826,2.2,9999.9
20140912,1400,216,2.3,9999.9
20140912,1500,2103,2.9,9999.9
20140912,1600,1082,3.2,9999.9
20140912,1700,2529,3.9,9999.9
20140912,1800,0,3.9,9999.9
20140912,1900,0,3.9,9999.9
20140912,2000,0,3.9,9999.9
20140912,2100,0,3.9,9999.9
20140912,2200,0,3.9,9999.9
20140912,2300,0,3.9,9999.9
20140912,2400,0,3.9,9999.9
20140913,0100,0,0.0,9999.9
20140913,0200,0,0.0,9999.9
20140913,0300,0,0.0,9999.9
20140913,0400,0,0.0,9999.9
20140913,0500,0,0.0,9999.9
20140913,0600,0,0.0,9999.9
20140913,0700,0,0.0,9999.9
20140913,0800,0,0.0,9999.9
20140913,0900,0,0.0,9999.9
20140913,1000,0,0.0,9999.9
20140913,1100,1533,0.4,9999.9
20140913,1200,1464,0.8,9999.9
20140913,1300,2036,1.4,9999.9
20140913,1400,1389,1.8,9999.9
20140913,1500,2157,2.4,9999.9
20140913,1600,2761,3.2,9999.9
20140913,1700,1998,3.7,9999.9
20140913,1800,218,3.8,9999.9
20140913,1900,0,3.8,9999.9
20140913,2000,0,3.8,9999.9
20140913,2100,0,3.8,9999.9
20140913,2200,0,3.8,9999.9
20140913,2300,0,3.8,9999.9
20140913,2400,0,3.8,9999.9
20140914,0100,0,0.0,9999.9
20140914,0200,0,0.0,9999.9
20140914,0300,0,0.0,9999.9
20140914,0400,0,0.0,9999.9
20140914,0500,0,0.0,9999.9
20140914,0600,0,0.0,9999.9
20140914,0700,1093,0.3,9999.9
20140914,0800,132,0.3,9999.9
20140914,0900,1546,0.8,9999.9
20140914,1000,684,1.0,9999.9
20140914,1100,591,1.1,9999.9
20140914,1200,2210,1.7,9999.9
20140914,1300,2793,2.5,9999.9
20140914,1400,1090,2.8,9999.9
20140914,1500,1176,3.1,9999.9
20140914,1600,1866,3.7,9999.9
20140914,1700,2285,4.3,9999.9
20140914,1800,2092,4.9,9999.9
20140914,1900,0,4.9,9999.9
20140914,2000,0,4.9,9999.9
20140914,2100,0,4.9,9999.9
20140914,2200,0,4.9,9999.9
20140914,2300,0,4.9,9999.9
20140914,2400,0,4.9,9999.9
20140915,0100,0,0.0,9999.9
20140915,0200,0,0.0,9999.9
20140915,0300,0,0.0,9999.9
20140915,0400,0,0.0,9999.9
20140915,0500,0,0.0,9999.9
20140915,0600,0,0.0,9999.9
20140915,0700,0,0.0,9999.9
20140915,0800,0,0.0,9999.9
20140915,0900,928,0.3,9999.9
20140915,1000,878,0.5,9999.9
20140915,1100,1499,0.9,9999.9
20140915,1200,2895,1.7,9999.9
20140915,1300,2948,2.5,9999.9
20140915,1400,3600,3.5,9999.9
20140915,1500,3490,4.5,9999.9
20140915,1600,3109,5.4,9999.9
20140915,1700,1378,5.8,9999.9
20140915,1800,2092,6.3,9999.9
20140915,1900,0,6.3,9999.9
20140915,2000,0,6.3,9999.9
20140915,2100,0,6.3,9999.9
20140915,2200,0,6.3,9999.9
20140915,2300,0,6.3,9999.9
20140915,2400,0,6.3,9999.9
20140916,0100,0,0.0,9999.9
20140916,0200,0,0.0,9999.9
20140916,0300,0,0.0,9999.9
20140916,0400,0,0.0,9999.9
20140916,0500,0,0.0,9999.9
20140916,0600,0,0.0,9999.9
20140916,0700,0,0.0,9999.9
20140916,0800,0,0.0,9999.9
20140916,0900,0,0.0,9999.9
20140916,1000,0,0.0,9999.9
20140916,1100,0,0.0,9999.9
20140916,1200,712,0.2,9999.9
20140916,1300,3600,1.2,9999.9
20140916,1400,3138,2.1,9999.9
20140916,1500,2318,2.7,9999.9
20140916,1600,2883,3.5,9999.9
20140916,1700,1838,4.0,9999.9
20140916,1800,1202,4.4,9999.9
20140916,1900,0,4.4,9999.9
20140916,2000,0,4.4,9999.9
20140916,2100,0,4.4,9999.9
20140916,2200,0,4.4,9999.9
20140916,2300,0,4.4,9999.9
20140916,2400,0,4.4,9999.9
20140917,0100,0,0.0,9999.9
20140917,0200,0,0.0,9999.9
20140917,0300,0,0.0,9999.9
20140917,0400,0,0.0,9999.9
20140917,0500,0,0.0,9999.9
20140917,0600,0,0.0,9999.9
20140917,0700,0,0.0,9999.9
20140917,0800,0,0.0,9999.9
20140917,0900,0,0.0,9999.9
20140917,1000,0,0.0,9999.9
20140917,1100,433,0.1,9999.9
20140917,1200,81,0.1,9999.9
20140917,1300,2408,0.8,9999.9
20140917,1400,3600,1.8,9999.9
20140917,1500,3480,2.8,9999.9
20140917,1600,851,3.0,9999.9
20140917,1700,0,3.0,9999.9
20140917,1800,0,3.0,9999.9
20140917,1900,0,3.0,9999.9
20140917,2000,0,3.0,9999.9
20140917,2100,0,3.0,9999.9
20140917,2200,0,3.0,9999.9
20140917,2300,0,3.0,9999.9
20140917,2400,0,3.0,9999.9
20140918,0100,0,0.0,9999.9
20140918,0200,0,0.0,9999.9
20140918,0300,0,0.0,9999.9
20140918,0400,0,0.0,9999.9
20140918,0500,0,0.0,9999.9
20140918,0600,0,0.0,9999.9
20140918,0700,0,0.0,9999.9
20140918,0800,0,0.0,9999.9
20140918,0900,0,0.0,9999.9
20140918,1000,46,0.0,9999.9
20140918,1100,2250,0.6,9999.9
20140918,1200,728,0.8,9999.9
20140918,1300,3600,1.8,9999.9
20140918,1400,3600,2.8,9999.9
20140918,1500,3600,3.8,9999.9
20140918,1600,3281,4.8,9999.9
20140918,1700,0,4.8,9999.9
20140918,1800,0,4.8,9999.9
20140918,1900,0,4.8,9999.9
20140918,2000,0,4.8,9999.9
20140918,2100,0,4.8,9999.9
20140918,2200,0,4.8,9999.9
20140918,2300,0,4.8,9999.9
20140918,2400,0,4.8,9999.9
20140919,0100,0,0.0,9999.9
20140919,0200,0,0.0,9999.9
20140919,0300,0,0.0,9999.9
20140919,0400,0,0.0,9999.9
20140919,0500,0,0.0,9999.9
20140919,0600,0,0.0,9999.9
20140919,0700,0,0.0,9999.9
20140919,0800,0,0.0,9999.9
20140919,0900,0,0.0,9999.9
20140919,1000,0,0.0,9999.9
20140919,1100,0,0.0,9999.9
20140919,1200,0,0.0,9999.9
20140919,1300,0,0.0,9999.9
20140919,1400,1714,0.5,9999.9
20140919,1500,3600,1.5,9999.9
20140919,1600,3600,2.5,9999.9
20140919,1700,3218,3.4,9999.9
20140919,1800,115,3.4,9999.9
